Name,Rating,Review Title,Review Date,Review Content
Diamondmask,5.0 out of 5 stars,My First Kindle - Loving It,Reviewed in the United Kingdom on 9 January 2021,"This Paperwhite is a revelation as my first kindle. Its so light and easy to read with, especially in bed. I am a convert - this is my first ever kindle and there is no going back. Teamed with Kindle Unlimited - its totally brilliant. Just plug it in to charge and way you go. A Goodreads account is offered - I already had one but it took ages to connect to my Kindle, but the first time round while the Kindle is waking up may just be a one-off. The bookmark is also a little sluggish but I think I'm used to the quick response of my laptop so I may be spoiled."
Penelope A. Wythes,5.0 out of 5 stars,"Loved my last one, love this one too",Reviewed in the United Kingdom on 28 June 2020,"Only criticism is that I was replacing an exactly similar Kindle only 18 months old.My previous Kindles have lasted much longer - in fact I still have them and they work. I replaced them for newer models with facets that that appealed. My previous Paperwhite however just died suddenly for no apparent reason - working fine one evening, low on charge so left on charge overnight - next day simply wouldn't work. Tried all sorts but it wouldn't resuscitate. Rapidly mobilised an old one, ordered a new one as I do like the Paperwhite. I'll see how this one lasts."
STUART MOSS,4.0 out of 5 stars,Very good - better for right handed people though!,Reviewed in the United Kingdom on 9 August 2019,"First the bad:A) Unlike my old Kindle (with the keyboard that I got in 2011 ish) the books seem harder to organise. It seems impossible to now group them all in a ‘file’ (by author) so that the ones you have read are not in the main menu, thus keeping the unread ones separate.B) If you are left handed, you might (like me) find it bloody annoying that you can’t swap round the areas of the touch screen where you turn the page. I hold my books in my left hand and want to use that same hand to turn the page, not have to use my other hand. Yes, yes, I know... ‘first world problems’! Ha! Ha!The Good:A) It is lighter than my old one.B) Love the back lit screen.C) Once you have gotten used to the touch screen (that is a little bit slow) and remembered what every part of the screen does, it is actually an improvement on my old Kindle."
Lilly,2.0 out of 5 stars,Worked perfect for 12 months - now forever frozen!,Reviewed in the United Kingdom on 6 March 2021,"I really loved my kindle! Key word, ‘loved’ as in past tense. I bought it 13 months ago and out of the blue it has stopped working! Literally a week after the warranty expired the screen froze and has not unfrozen since. I have tried everything! I’m not sure what is wrong with it but I was so surprised when I googled the problem and hundreds of people experienced the same thing! Most of these consumers had to go and buy new kindles, which I am just not willing to do. £120 for something that is only going to last a year is absurd. Im really disappointed as I loved my kindle, used it often, always treated it right, never dropped it, etc. I have received no help from Amazon concerning advice to fix it, and at this point do not plan on buying a new one. It’s really upsetting and I really think everyone should be aware of this “faulty feature” of the kindles. Not sure what is causing it, but amazon should be taking initiative to fix it, and aren’t."
Chas-Street,3.0 out of 5 stars,Disappointed with the Battery Life,Reviewed in the United Kingdom on 7 February 2019,"I've been using an iPad for 5 years to read my kindle books. My iPad generally runs for around 10 hours on a full charge, so I thought I'd treat myself to a Kindle -  I'm an avid reader and thought the battery would last significantly longer. Unfortunately the battery life is nothing like as good as advertised. I get around 48 hours reading from a full charge. So while the battery does last longer than my iPad, if you read a lot it won't last the equivalent of a week from a full charge. Also I turned it off completely for a few days and the charge still dropped from 94% to 86% without even being used. My advice - if you're going on holiday for more than 2 or 3 days always make sure you have  your charger & lead with you. Finally having read other reviews I do switch it to ""Airplane mode"" to conserve power while I'm reading, also I keep the backlight off when reading in daylight. So I'm rather disappointed with it's performance.The good points: it was quick and easy to download my book collection, the text is easy to read, and of course it's much smaller and lighter than my iPad to tote around."
Jules C. May,5.0 out of 5 stars,Up-to-date version of this classic product.,Reviewed in the United Kingdom on 17 January 2020,"I asked Santa for one of these after my cleaner trod on my old 3rd gen (keyboard-style) kindle and broke the screen.Initial impressions are very good.  It feels much smaller to hold (even though the screen is exactly the same size), and the image is much clearer.  I like having just a touch of backlight - it helps the page look whiter - but in the evenings, it's great.  Screen refresh is quick, and battery life is impressive.Only gripe I've got is: this model understands collections differently to the way the apps and other Kindle devices do.  I was very confused to begin with (as I know other people have been). Now I understand what's happening, but I still find it more clumsy than the old way.  I don't understand why the software developers would have changed this, and I wish they'd change it back.Other than that: very happy indeed."
Amazon Customer,1.0 out of 5 stars,Disappointing quality not as good as older versions,Reviewed in the United Kingdom on 3 November 2019,I replaced my 6th generation kindle (2014) with latest paperwhite after dropping in the bath for second time and was glad to replace with a waterproof version  with larger storage. I bought from John Lewis as I had vouchers to use. The back light is poor and I have to increase to near maximum to improve clarity for reading.  The battery is no better than my older kindle and lasts a few days only. It's slow to download books and I have to keep repeating the process and it can have problems syncing.  I've tried to get use to it's failings but I'm not sure if I have a dud one? I plan to contact John Lewis to see if I can get a replacement as I've not had it 12 months yet.
Bedesman,5.0 out of 5 stars,Registration Fraud.,Reviewed in the United Kingdom on 26 September 2020,"My attempt to register my new Kindle was blocked my a person unknown who claimed there was  a problem with  IP Address Encryption which could not be corrected by Amazon. To prove his identity as an Amazon employee he said this was my third Kindle, that I had a library of 40 books and displayed the first page of my Kindle library on my screen. I was telephoned my BestAdvisors who required payment to correct the IP problem on behalf of Amazon. I foolishly agreed to pay. I later received a second telephone call  to say the problem had been corrected and my Kindle was now fully functional.  This proved to be correct. I now feel certain this was a fraudulent activity carried out against both myself and Amazon. BEWARE."
K. Woodhead,2.0 out of 5 stars,Disappointed,Reviewed in the United Kingdom on 15 January 2019,"It has been a few weeks since I purchased the Kindle.  It is quite responsive to touch, maybe a bit too much.  I find that when you are holding it, it turns the page as you are a bit close to the screen.  It is a bit too sensitive to touch and I am forever having to go back.  I much prefer the older version, where there was a distinction between the screen and the frame.  I wouldn’t upgrade unless like me you dropped your previous kindle in the bath.Update - Just over a month old an issue occurred with the power, reset the kindle and it lasted just over a month again - now being replaced."
AniaKass,4.0 out of 5 stars,Wonderful device,Reviewed in the United Kingdom on 21 October 2019,"I love my new Paperwhite Kindle. I love that I can pack around SO MANY books! I will say, I have never been a fan of touch screens though (I actually love my old Kindle better b/c it's NOT touch screen, and I feel it is easier to navigate, but that may be b/c I'm used to it). I do wish there was an easier way to freeze and unfreeze the screen on the new paperwhite. But I do really like that I can change the brightness of the built-in-light, font, font size, layout, and see page number or % read. I recommend to anyone who is thinking about getting one of these devices to do so, especially if you're the kind of person to pack books around. It is amazing and wonderful how many books you can have, including getting ebooks from the library and whatnot."
Don. G.,1.0 out of 5 stars,Device from Hell,Reviewed in the United Kingdom on 10 October 2019,I bought one of these today. SPENT OVER 2 HOURS TRYING TO GET IT TO CONNECT MY WI-FI AND A FURTHER 1HOUR AND 4 MINS WITH MY INTERNET PROVIDER BEFORE IT WOULD CONNECT! This necessitated changing the existing wifi network settings and wifi password!! WHY???? Never had any problems connecting devices to my wifi before! Then I tried to connect to my very long-standing Amazon account. Again problems. Password-verified as correct-constantly rejected necessitating a complete password reset! The keyboards to enter data in were also awful. That is far as I have got. I will return it tomorrow as I am far from satisfied and do not fancy any more problems in trying to download a book to it!
Michael Evans,1.0 out of 5 stars,"Great, until it stops working.",Reviewed in the United Kingdom on 24 January 2020,"Originally the Kindle was great, it had ample storage and combined with the fact books dont take up a huge amount of room anyway, it looked like it was going to be a way for me to get back into reading. It was easy to use and bright enough.Unfortunately this was short lived as after having charged it fully twice, when the battery died, it would no longer turn on or function at all. Instead was a screen that said ""Battery condition critical"" with a large battery symbol and an exclamation mark in the centre.Of course the first thing anyone would do would be to consult Google and search for any ways to get it working again (resets and etc), but unfortunately all that came up was that it is apparently a common fault that if you do not charge a Kindle in its ""low battery"" state then you run the risk of having the battery go flat, and unlike other devices where you can just charge it up again, there's a large chance that the Kindle wont charge at all and be stuck in this state. Leaving it completely useless.I have used the Kindle approximately 10-15 times since I bought it, had it in a hard case, and it hadn't been in any way conditions etc, therefore in no way should it be failing that miserably already.So, dont let the battery drain completely!Edit:After contacting Amazon to solve the issue, I was offered to purchase a new device due to being a few days out of my warranty. The operator was polite and tried his best to help me get the device working, but to no avail.I am gutted that there's no option for repair or replacenent, as I was really looking forward to using it on my honeymoon in 6 weeks time. To provide a £120 device with a battery that cant hold reserve charge is beyond stupid, even £10 phones from Tesco have this function.Dissapointed in Amazon."
Kathryn Nicholl,5.0 out of 5 stars,This is the best reader yet!,Reviewed in the United Kingdom on 28 May 2019,"I already had a Paperwhite but I had stupidly let something fall on it and it had created a small ""hole"" which let light through so asked my family for this one for Christmas. Transferring the e-books from the old one was a piece of cake and loading on my audiobooks from Audible was equally easy. Headphones connect via Bluetooth, so a whole entertainment experience in one small, very easily readable - even in the brightest sunlight - and adjustable package. It is also incredibly light and fits easily into a patch pocket or small shoulder bag. Oh, and right now it has 998 e-books and 31 audiobooks on it plus some PDFs, and I still have nearly 22 gb free! Battery life is brilliant too and you get plenty of warning when a re-charge is needed. Wouldn't be without it!"
S. J. Pritchard,1.0 out of 5 stars,Battery design fault.,Reviewed in the United Kingdom on 8 March 2021,"The ereader itself is a very good product as attested to by the multiple 5 star reviews. However, should it develop a fault out of warranty then don't expect any offer of repair. There is no such thing. Just an offer to buy a discounted replacement. Not exactly environmentally friendly. After two years of moderate use mine was left uncharged whilst I read a paper book. After finishing the book I picked up the Kindle to start an ebook only to see the dreaded empty battery/exclamation mark symbol. Worse still, when plugged in to charge, no orange/green light. Taking to the internet to find a solution, none were apparent. All tutorials and Amazon's own help guide all needed at least the light to show. The online support chat finally ended with sorry but out of warranty, can't send a new one. Here's 15% discount to buy a new one. No offer of paid for repair just throw away and buy a new one. I don't want to spend £120 every two years on an ereader. So a bit more research and a YouTube video later, the back was off. It's interesting to see all connectors glued down. Makes it difficult to repair. Even the battery is glued in. Not to be deterred, the battery connector was lifted from the glue and then reconnected and voila! The light came on. 20 minutes work and £120 saved. The battery/exclamation mark seems to be a common one if left to completely drain of charge so lesson learned. Keep it charged. But this seems to be a bit of a design fault. So, before forking out for a new one and it's out of warranty, be brave and take the back off. If you're not willing to do it, try a mobile repair shop first. Not sure how waterproof it will be after the back has been off so I wouldn't take it in the bath!!"
Cadajota,5.0 out of 5 stars,Much easier than using a heavy tablet,Reviewed in the United Kingdom on 22 January 2020,I originally owned the old version of a kindle for many years - eventually upgrading to a tablet and giving my original kindle to my bookworm of a daughter. I soon regretted getting rid as although my tablet is all singing and dancing it is nowhere near as portable as a kindle - and no where near as lightweight. The back light on this Kindle paper white and the ease of use makes this as portable as a phone but easier to read. I strongly recommend getting a case for it as protection. It makes reading in bed better too - don't have to have a light on keeping hubby awake. Works a treat. Thoroughly recommend this little gem.
KPF,1.0 out of 5 stars,TERRIBLE PRODUCT,Reviewed in the United Kingdom on 30 January 2021,Worst product I have ever bought.... DO NOT BUY THIS!!! If you still feel tempted at least keep it charged.... the batteries are notoriously terrible. Had mine 1 year and a month and read 2 books on it... left in a draw for 6 months... it was immaculate... took it out to a critical battery error and it never worked again. Now have a refurbished one as a replacement... it works when it feels like it! Terrible bit of kit... massively disappointed my previous kindle lasted me 10+ years and was awesome. Will never buy another kindle.
FODI Attila,4.0 out of 5 stars,A new era of reading begun for me,Reviewed in the United Kingdom on 12 November 2020,"This is my first e-book reader ever, so I had to get used to it, which means I have nothing to compare it with.The reason I bought it was simply to reduce the weight of my rucksack when I go trekking.First of all, it is lightweight and easy to hold (with the case I bought it). I am a bibliophile, so I still miss the smell of the ink, but it seems to be a good and lightweight book-alternative during the evenings in a tent or on my way from A to B, on a bus, train or airplane.All the books I downloaded are working fine, I even sent a pdf version of my own work to it to check how it can be read on the screen and I am satisfied with the result.There is only one thing which could make it even better, the colours (I like the illustrated editions of books, but everything is B&W)."
Andrew Warn,3.0 out of 5 stars,Great but a little pricey,Reviewed in the United Kingdom on 21 March 2019,"Well made and easy to use. I can’t give it 5 star for two reasons. One is that it is very unresponsive when using it to browse for new books and such. You tap something like search and it takes a few seconds to be ready to type. When you start to type it can’t keep up and you have to wait for what you have typed to appear. The second thing is the price. I paid £119 for this and in my opinion it is more like an £80 product. At £119 it should be much more responsive. The pro’s are that is is well made, slim, easy to use and as reasonable battery life. Though I should mention that the battery is not as good has they say it is. If you read for 30 mins or less a day then I expect the battery life will last the weeks they mention but I went through 50% battery in about 5 days. I was reading for about 60 mins per day"
KP,4.0 out of 5 stars,Kindle Light and Bright,Reviewed in the United Kingdom on 25 March 2020,I am pleased with my new kindle. The back light is really good as I am able to read last thing at night or first thing in the morning without disturbing anyone by having to put on a light.The battery lasts at least 2 weeks before it needs recharging. It might be even longer.However I don't find the touchscreen as easy as my previous kindle to navigate books and find pages. Also I didn't realise that I would not be able to use audiobooks so for the price I paid that was disappointing.I do like the kindle but I do think it is overpriced for the media provided.
Gwill,1.0 out of 5 stars,Not a happy bunny,Reviewed in the United Kingdom on 31 August 2019,"Very disappointed. Firstly, battery lasts for weeks my backside. I fully charged it and after less than an hour reading with the kindle light on half way the battery was on 89%. Secondly, my old kindle would have a slight glow to the screen even before turning the light on. Decided the other night to have a read but couldn’t see a thing from the new kindle. Had to turn on lamp so I could read the screen and find the light setting. Lastly, I wish this option of with/without special offers was more understandable. I now know that if I turn them off I will be billed £10. Never saw that on the Amazon listing. ☹️☹️Update 21st October 2020The screen now greys out at random times and when I’m in the kindle store I’m unable to swipe up.Very, very unhappy. ☹️☹️"
Pauline Lee,4.0 out of 5 stars,A great kindle with built in light,Reviewed in the United Kingdom on 5 January 2020,"Having one of the original kindles which is over 10 years old, I felt it was time for an updated model.  The paperwhite is much lighter in weight, smaller, easier to read - especially in the dark and I like it.  What  disappointed me - although my long list of books purchased over the years have been dowloaded and, my folders are visible, when I have finished a book & moved it to a folded, on rhe paper white, it does not remove the read books in folders from my current list of books to read & I find this very frustrating.  If anyone has any ideas on how to move them without deleting them, I would love to hear how to do this."
